FID,SCD,STR_NAME,BEZLISTE
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1797,20824,Laubepark,10
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1796,21161,Parkanlage Lainzerbachstraße,13
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1795,20825,Grünanlage Zschokkegasse,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1794,20826,Grünanlage Widerhoferplatz,9
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1793,20827,Grünanlage Spittelauer Platz,9
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1792,20828,Grünanlage Schlesingerplatz,8
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1791,20829,Grünanlage Rudolf-von-Alt-Platz,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1790,21162,Phantasten Museum,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-178f,21163,Circus-& Clownmuseum,2
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-178e,20830,Ilgplatz,2
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-178d,20831,Grünanlage Rottstraße,14
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-178c,20832,Grünanlage Rennbahnweg,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-178b,20833,Grünanlage Pfeilgasse,8
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-178a,20834,Grünanlage Otto-Probst-Platz,10
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1789,20835,Grünanlage Mozartplatz,4
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1788,20836,Grünanlage Mergenthalerplatz,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1787,20838,Grünanlage Malfattigasse,12
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1786,20839,Grünanlage Ludwig-Koeßler-Platz,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1785,20840,Grünanlage Lotte-Lenya-Platz,14
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1784,20841,Grünanlage Lorenz-Mandl-Gasse,16
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1783,20842,Grünanlage Linke Bahngasse,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1782,20843,Grünanlage Lili-Grün-Platz,2
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1781,20844,Grünanlage Liechtensteinstraße,9
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1780,20845,Grünanlage Leopold-Kunschak-Platz,17
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-177f,21164,WU (Wirtschaftsuniversität Wien),2
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-177e,21165,Campus-WU,2
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-177d,21166,Aspern IQ,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-177c,20846,Grünanlage Langauergasse,15
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-177b,20847,Grünanlage Kühnplatz,4
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-177a,20848,Grünanlage Kugelmannplatz,23
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1779,20849,Parkanlage Kriemhildplatz,15
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1778,20850,Grünanlage Kardinal-Rauscher-Platz,15
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1777,20851,Grünanlage Hugo-Wiener-Platz,4
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1776,16220,KGA Neustift,19
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1775,20852,Grünanlage Jenny-Steiner-Weg,7
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1774,20853,Grünanlage Kolonitzplatz,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1773,20855,Antonspark,10
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1772,20856,Grünanlage Grohgasse,5
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1771,20858,Parkanlage Feuerhalle Simmering,11
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1770,20859,Grünanlage Esteplatz,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-176f,20860,Grünanlage Eipeldauer Straße,22
